unit_id,grade,subject,canonical_unit_name,term,estimated_hours,learning_objective,key_concepts,previous_learning,next_learning,curriculum_version_source,curriculum_version,status,data_origin
U101,1,国語,音読とひらがな,1,,ひらがなの読み書きと正しい発音,ひらがな・音読,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U102,1,国語,物語文の読解(1),1,,登場人物の行動を想像して読む,登場人物・場面,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U103,1,国語,説明文の読解(1),1,,事物の特徴や違いを読み取る,順序・特徴,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U104,1,国語,話す・聞く(1),1,,自分の経験を順序立てて話す,順序・音声,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U105,1,国語,書く(1),2,,経験したことを文章に書く,主語・述語,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U106,1,国語,漢字の基礎(1),2,,1年生の配当漢字を習得する,漢字の読み書き,,U201,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U107,1,国語,カタカナ,2,,カタカナの読み書きを習得する,外来語・カタカナ,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U108,1,国語,語彙・言葉遊び,2,,言葉の響きやリズムを楽しむ,語彙・リズム,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U109,1,国語,詩の鑑賞(1),3,,詩を読み想像を広げる,詩・連,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U110,1,国語,昔話の読解,3,,昔話に親しみ内容を楽しむ,昔話・伝承,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U111,1,算数,10までの数,1,,10までの数の概念を理解する,数の概念,,U116,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U112,1,算数,たし算(繰り上がりなし),1,,合併・増加のたし算を理解する,たし算・式,,U118,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U113,1,算数,ひき算(繰り下がりなし),1,,求残・求差のひき算を理解する,ひき算・式,,U119,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U114,1,算数,長さの比較,1,,直接比較による長さを理解する,長さ・比較,,U214,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U115,1,算数,かたちの基礎,1,,立体図形の特徴を捉える,かたち・図形,,U122,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U116,1,算数,20までの数,2,,10より大きい数の概念を理解する,10のまとまり,U111,U120,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U117,1,算数,3つの数の計算,2,,3つの数の加減算を理解する,連続計算,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U118,1,算数,たし算(繰り上がりあり),2,,繰り上がりのある加算を習得する,繰り上がり,U112,U212,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U119,1,算数,ひき算(繰り下がりあり),2,,繰り下がりのある減算を習得する,繰り下がり,U113,U213,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U120,1,算数,大きな数(100まで),3,,100までの数の構成を理解する,位取り,U116,U218,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U121,1,算数,時計の読み方,3,,何時・何時半の読み方を理解する,時計・時刻,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U122,1,算数,かたちづくり,3,,平面図形の構成を理解する,平面図形,U115,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U201,2,国語,漢字の基礎(2),1,,2年生の配当漢字を習得する,漢字の読み書き,U106,U301,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U202,2,国語,物語文の読解(2),1,,場面の移り変わりを捉える,場面・心情,U102,U303,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U203,2,国語,説明文の読解(2),1,,事柄の順序を意識して読む,接続語・順序,U103,U304,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U204,2,国語,話す・聞く(2),2,,順序立てて分かりやすく話す,理由・順序,U104,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U205,2,国語,書く(2),2,,主語と述語に気を付けて書く,文の構成,U105,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U206,2,国語,観察記録の作成,2,,見たことや気付いたことを記録する,記録・観察,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U207,2,国語,詩の鑑賞(2),3,,様子を想像して音読する,情景・音読,U109,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U208,2,国語,音読・暗唱,3,,リズムを楽しみながら暗唱する,暗唱,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U209,2,国語,語彙・反対語,3,,意味が対になる言葉を知る,語彙・対義語,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U210,2,国語,劇の表現,3,,役になりきって表現する,音声表現,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U211,2,算数,グラフと表の基礎,1,,簡単な表とグラフの読み方,表・グラフ,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U212,2,算数,たし算の筆算,1,,2位数のたし算の筆算を習得,筆算・位取り,U118,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U213,2,算数,ひき算の筆算,1,,2位数のひき算の筆算を習得,筆算・位取り,U119,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U214,2,算数,長さの単位(cm/mm),2,,普遍単位による長さを理解する,単位・測定,U114,U315,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U215,2,算数,水の量の単位(L/dL),2,,かさの単位を理解する,単位・かさ,,,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U216,2,算数,かけ算の基礎,2,,累加としてのかけ算を理解する,乗法・倍,,U217,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
U217,2,算数,かけ算九九,2,,乗法九九を暗記し活用する,九九,U216,U311,令和6年度改訂,小学校学習指導要領（平成29年告示）／令和6年度使用教科書世代,needs_review,Gemini調査結果（要公式確認）
