material_id,grade,subject,canonical_unit_name,category,title,provider,description,target,format,free_or_paid,url,copyright_status,recommended_use,quality_score,time_saving_score,visual_score,student_engagement_score,source_reliability,last_checked,status
M001,5,算数,割合,無料プリント,割合（小学5年生算数）｜無料プリント教材,すらぷり,割合・百分率・歩合・基準量・比較量・割引/割増まで段階別プリント。,児童,Web/PDF,free,https://surapuri.jp/elementary_school05/wariai/,link_only,個別練習・宿題・補充,5,5,5,4,medium,2026-09-10,verified
M002,5,算数,割合,無料プリント,割合（比べ方を考えよう）,ぷりんと365,割合・比較量・基準量・百分率・割引/割増・文章題。数直線活用。,児童,Web/PDF,free,https://www.print365.net/kurabekatabunsyo5nen/,link_only,数直線を使った練習・家庭学習,5,5,4,4,medium,2026-09-10,verified
M003,5,算数,割合,公的教材,東京ベーシック・ドリル 算数5年「割合」,東京都教育委員会,解説PDF・問題PDF・答えPDFを提供。,児童/教師,Web/PDF,free,https://www.kyoiku.metro.tokyo.lg.jp/school/study_material/improvement/tokyo_basic_drill/math_pr05,link_only,基礎確認・補充・単元末確認,5,5,3,3,high,2026-09-10,verified
M004,5,算数,割合,授業実践,アクティブ・ラーニング授業実践事例（小5算数）,NITS,割合・百分率を全11時間で構成した公的な授業実践事例。,教師,Web,free,https://www.nits.go.jp/service/activeLearning/achievement/jirei/jirei194.html,link_only,単元全体の授業構成・発問設計,5,4,3,5,high,2026-09-10,verified
M005,5,算数,割合,指導案,第5学年 算数学習指導案「割合の考え」,お茶の水女子大学附属学校園,割合の考えを問題解決場面で使うことを重視した指導案。,教師,Web,free,https://kyozai-db.fz.ocha.ac.jp/search/detail/352,link_only,導入・問題場面・発問設計,5,4,3,5,high,2026-09-10,verified
M006,5,算数,割合,指導案,第5学年 算数学習指導案「割合を使って」,お茶の水女子大学附属学校園,割引とおまけのどちらが得かを判断する生活場面の実践。,教師,Web,free,https://kyozai-db.fz.ocha.ac.jp/search/detail/115,link_only,生活に結びつく発展課題・判断活動,5,4,3,5,high,2026-09-10,verified
M007,5,算数,割合,教科書会社資料,新しい算数：割合につながる「倍の見方」,東京書籍,4年の倍の見方から5年の小数倍・割合へつなぐ教科書設計。,教師,Web,free,https://ten.tokyo-shoseki.co.jp/text/shou_current/sansu/introduction/page11.html,link_only,前学年との接続・数直線板書,5,4,5,4,high,2026-09-10,verified
M008,5,算数,割合,授業実践,比べられる量を求める／5年「百分率とグラフ」,東書Eネット,割合と倍の学習のつながりから比較量を扱う実践資料。,教師,Web/PDF,registration_required,https://ten.tokyo-shoseki.co.jp/detail/78602/,link_only,比較量を求める時間の指導案,4,3,3,4,high,2026-09-10,verified
M009,5,算数,割合,授業実践,百分率を導入とした割合の学習－百分率とグラフ－,東書Eネット,百分率を入口に割合の見方を扱う実践資料。,教師,Web/PDF,registration_required,https://ten.tokyo-shoseki.co.jp/detail/3696/,link_only,百分率導入の別アプローチ,4,3,3,4,high,2026-09-10,verified
M010,5,算数,割合,ICT教材/指導案,わかる！算数 小学5年「割合とグラフ」指導案集＋ワークシート,がくげい,小学5年「割合とグラフ」向け指導案とワークシート。,教師/児童,Web/PDF,free,https://www.gakugei.co.jp/school/shidouan_wakaru.html,link_only,授業案のたたき台・ワークシート候補,4,4,3,4,medium,2026-09-10,needs_review
M011,5,算数,割合,板書例,小学5年「割合」の学習より,たけおせんせ（note）,割合導入1・2時間目の板書写真と児童の複数の比べ方を紹介。,教師,Web/画像,free,https://note.com/takemuu2342/n/n28054d65a873,link_only,板書構成・児童の考えの並べ方の参考,4,3,5,5,supplementary,2026-09-10,verified
